----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1         [-1, 16, 320, 320]              48
       BatchNorm2d-2         [-1, 16, 320, 320]              32
              SiLU-3         [-1, 16, 320, 320]               0
              SiLU-4         [-1, 16, 320, 320]               0
              SiLU-5         [-1, 16, 320, 320]               0
              SiLU-6         [-1, 16, 320, 320]               0
              SiLU-7         [-1, 16, 320, 320]               0
              SiLU-8         [-1, 16, 320, 320]               0
              SiLU-9         [-1, 16, 320, 320]               0
             SiLU-10         [-1, 16, 320, 320]               0
             SiLU-11         [-1, 16, 320, 320]               0
             SiLU-12         [-1, 16, 320, 320]               0
             SiLU-13         [-1, 16, 320, 320]               0
             SiLU-14         [-1, 16, 320, 320]               0
             SiLU-15         [-1, 16, 320, 320]               0
             SiLU-16         [-1, 16, 320, 320]               0
             SiLU-17         [-1, 16, 320, 320]               0
             SiLU-18         [-1, 16, 320, 320]               0
             SiLU-19         [-1, 16, 320, 320]               0
             SiLU-20         [-1, 16, 320, 320]               0
             SiLU-21         [-1, 16, 320, 320]               0
             SiLU-22         [-1, 16, 320, 320]               0
             SiLU-23         [-1, 16, 320, 320]               0
             SiLU-24         [-1, 16, 320, 320]               0
             SiLU-25         [-1, 16, 320, 320]               0
             SiLU-26         [-1, 16, 320, 320]               0
             SiLU-27         [-1, 16, 320, 320]               0
             SiLU-28         [-1, 16, 320, 320]               0
             SiLU-29         [-1, 16, 320, 320]               0
             SiLU-30         [-1, 16, 320, 320]               0
             SiLU-31         [-1, 16, 320, 320]               0
             SiLU-32         [-1, 16, 320, 320]               0
             Conv-33         [-1, 16, 320, 320]               0
           Conv2d-34         [-1, 32, 160, 160]             512
      BatchNorm2d-35         [-1, 32, 160, 160]              64
             SiLU-36         [-1, 32, 160, 160]               0
             SiLU-37         [-1, 32, 160, 160]               0
             SiLU-38         [-1, 32, 160, 160]               0
             SiLU-39         [-1, 32, 160, 160]               0
             SiLU-40         [-1, 32, 160, 160]               0
             SiLU-41         [-1, 32, 160, 160]               0
             SiLU-42         [-1, 32, 160, 160]               0
             SiLU-43         [-1, 32, 160, 160]               0
             SiLU-44         [-1, 32, 160, 160]               0
             SiLU-45         [-1, 32, 160, 160]               0
             SiLU-46         [-1, 32, 160, 160]               0
             SiLU-47         [-1, 32, 160, 160]               0
             SiLU-48         [-1, 32, 160, 160]               0
             SiLU-49         [-1, 32, 160, 160]               0
             SiLU-50         [-1, 32, 160, 160]               0
             SiLU-51         [-1, 32, 160, 160]               0
             SiLU-52         [-1, 32, 160, 160]               0
             SiLU-53         [-1, 32, 160, 160]               0
             SiLU-54         [-1, 32, 160, 160]               0
             SiLU-55         [-1, 32, 160, 160]               0
             SiLU-56         [-1, 32, 160, 160]               0
             SiLU-57         [-1, 32, 160, 160]               0
             SiLU-58         [-1, 32, 160, 160]               0
             SiLU-59         [-1, 32, 160, 160]               0
             SiLU-60         [-1, 32, 160, 160]               0
             SiLU-61         [-1, 32, 160, 160]               0
             SiLU-62         [-1, 32, 160, 160]               0
             SiLU-63         [-1, 32, 160, 160]               0
             SiLU-64         [-1, 32, 160, 160]               0
             SiLU-65         [-1, 32, 160, 160]               0
             Conv-66         [-1, 32, 160, 160]               0
           Conv2d-67         [-1, 32, 160, 160]           1,024
      BatchNorm2d-68         [-1, 32, 160, 160]              64
             SiLU-69         [-1, 32, 160, 160]               0
             SiLU-70         [-1, 32, 160, 160]               0
             SiLU-71         [-1, 32, 160, 160]               0
             SiLU-72         [-1, 32, 160, 160]               0
             SiLU-73         [-1, 32, 160, 160]               0
             SiLU-74         [-1, 32, 160, 160]               0
             SiLU-75         [-1, 32, 160, 160]               0
             SiLU-76         [-1, 32, 160, 160]               0
             SiLU-77         [-1, 32, 160, 160]               0
             SiLU-78         [-1, 32, 160, 160]               0
             SiLU-79         [-1, 32, 160, 160]               0
             SiLU-80         [-1, 32, 160, 160]               0
             SiLU-81         [-1, 32, 160, 160]               0
             SiLU-82         [-1, 32, 160, 160]               0
             SiLU-83         [-1, 32, 160, 160]               0
             SiLU-84         [-1, 32, 160, 160]               0
             SiLU-85         [-1, 32, 160, 160]               0
             SiLU-86         [-1, 32, 160, 160]               0
             SiLU-87         [-1, 32, 160, 160]               0
             SiLU-88         [-1, 32, 160, 160]               0
             SiLU-89         [-1, 32, 160, 160]               0
             SiLU-90         [-1, 32, 160, 160]               0
             SiLU-91         [-1, 32, 160, 160]               0
             SiLU-92         [-1, 32, 160, 160]               0
             SiLU-93         [-1, 32, 160, 160]               0
             SiLU-94         [-1, 32, 160, 160]               0
             SiLU-95         [-1, 32, 160, 160]               0
             SiLU-96         [-1, 32, 160, 160]               0
             SiLU-97         [-1, 32, 160, 160]               0
             SiLU-98         [-1, 32, 160, 160]               0
             Conv-99         [-1, 32, 160, 160]               0
          Conv2d-100          [-1, 8, 160, 160]           1,152
     BatchNorm2d-101          [-1, 8, 160, 160]              16
            SiLU-102          [-1, 8, 160, 160]               0
            SiLU-103          [-1, 8, 160, 160]               0
            SiLU-104          [-1, 8, 160, 160]               0
            SiLU-105          [-1, 8, 160, 160]               0
            SiLU-106          [-1, 8, 160, 160]               0
            SiLU-107          [-1, 8, 160, 160]               0
            SiLU-108          [-1, 8, 160, 160]               0
            SiLU-109          [-1, 8, 160, 160]               0
            SiLU-110          [-1, 8, 160, 160]               0
            SiLU-111          [-1, 8, 160, 160]               0
            SiLU-112          [-1, 8, 160, 160]               0
            SiLU-113          [-1, 8, 160, 160]               0
            SiLU-114          [-1, 8, 160, 160]               0
            SiLU-115          [-1, 8, 160, 160]               0
            SiLU-116          [-1, 8, 160, 160]               0
            SiLU-117          [-1, 8, 160, 160]               0
            SiLU-118          [-1, 8, 160, 160]               0
            SiLU-119          [-1, 8, 160, 160]               0
            SiLU-120          [-1, 8, 160, 160]               0
            SiLU-121          [-1, 8, 160, 160]               0
            SiLU-122          [-1, 8, 160, 160]               0
            SiLU-123          [-1, 8, 160, 160]               0
            SiLU-124          [-1, 8, 160, 160]               0
            SiLU-125          [-1, 8, 160, 160]               0
            SiLU-126          [-1, 8, 160, 160]               0
            SiLU-127          [-1, 8, 160, 160]               0
            SiLU-128          [-1, 8, 160, 160]               0
            SiLU-129          [-1, 8, 160, 160]               0
            SiLU-130          [-1, 8, 160, 160]               0
            SiLU-131          [-1, 8, 160, 160]               0
            Conv-132          [-1, 8, 160, 160]               0
          Conv2d-133         [-1, 16, 160, 160]           1,152
     BatchNorm2d-134         [-1, 16, 160, 160]              32
            SiLU-135         [-1, 16, 160, 160]               0
            SiLU-136         [-1, 16, 160, 160]               0
            SiLU-137         [-1, 16, 160, 160]               0
            SiLU-138         [-1, 16, 160, 160]               0
            SiLU-139         [-1, 16, 160, 160]               0
            SiLU-140         [-1, 16, 160, 160]               0
            SiLU-141         [-1, 16, 160, 160]               0
            SiLU-142         [-1, 16, 160, 160]               0
            SiLU-143         [-1, 16, 160, 160]               0
            SiLU-144         [-1, 16, 160, 160]               0
            SiLU-145         [-1, 16, 160, 160]               0
            SiLU-146         [-1, 16, 160, 160]               0
            SiLU-147         [-1, 16, 160, 160]               0
            SiLU-148         [-1, 16, 160, 160]               0
            SiLU-149         [-1, 16, 160, 160]               0
            SiLU-150         [-1, 16, 160, 160]               0
            SiLU-151         [-1, 16, 160, 160]               0
            SiLU-152         [-1, 16, 160, 160]               0
            SiLU-153         [-1, 16, 160, 160]               0
            SiLU-154         [-1, 16, 160, 160]               0
            SiLU-155         [-1, 16, 160, 160]               0
            SiLU-156         [-1, 16, 160, 160]               0
            SiLU-157         [-1, 16, 160, 160]               0
            SiLU-158         [-1, 16, 160, 160]               0
            SiLU-159         [-1, 16, 160, 160]               0
            SiLU-160         [-1, 16, 160, 160]               0
            SiLU-161         [-1, 16, 160, 160]               0
            SiLU-162         [-1, 16, 160, 160]               0
            SiLU-163         [-1, 16, 160, 160]               0
            SiLU-164         [-1, 16, 160, 160]               0
            Conv-165         [-1, 16, 160, 160]               0
      Bottleneck-166         [-1, 16, 160, 160]               0
          Conv2d-167         [-1, 32, 160, 160]           1,536
     BatchNorm2d-168         [-1, 32, 160, 160]              64
            SiLU-169         [-1, 32, 160, 160]               0
            SiLU-170         [-1, 32, 160, 160]               0
            SiLU-171         [-1, 32, 160, 160]               0
            SiLU-172         [-1, 32, 160, 160]               0
            SiLU-173         [-1, 32, 160, 160]               0
            SiLU-174         [-1, 32, 160, 160]               0
            SiLU-175         [-1, 32, 160, 160]               0
            SiLU-176         [-1, 32, 160, 160]               0
            SiLU-177         [-1, 32, 160, 160]               0
            SiLU-178         [-1, 32, 160, 160]               0
            SiLU-179         [-1, 32, 160, 160]               0
            SiLU-180         [-1, 32, 160, 160]               0
            SiLU-181         [-1, 32, 160, 160]               0
            SiLU-182         [-1, 32, 160, 160]               0
            SiLU-183         [-1, 32, 160, 160]               0
            SiLU-184         [-1, 32, 160, 160]               0
            SiLU-185         [-1, 32, 160, 160]               0
            SiLU-186         [-1, 32, 160, 160]               0
            SiLU-187         [-1, 32, 160, 160]               0
            SiLU-188         [-1, 32, 160, 160]               0
            SiLU-189         [-1, 32, 160, 160]               0
            SiLU-190         [-1, 32, 160, 160]               0
            SiLU-191         [-1, 32, 160, 160]               0
            SiLU-192         [-1, 32, 160, 160]               0
            SiLU-193         [-1, 32, 160, 160]               0
            SiLU-194         [-1, 32, 160, 160]               0
            SiLU-195         [-1, 32, 160, 160]               0
            SiLU-196         [-1, 32, 160, 160]               0
            SiLU-197         [-1, 32, 160, 160]               0
            SiLU-198         [-1, 32, 160, 160]               0
            Conv-199         [-1, 32, 160, 160]               0
            C3k2-200         [-1, 32, 160, 160]               0
          Conv2d-201           [-1, 64, 80, 80]           2,048
     BatchNorm2d-202           [-1, 64, 80, 80]             128
            SiLU-203           [-1, 64, 80, 80]               0
            SiLU-204           [-1, 64, 80, 80]               0
            SiLU-205           [-1, 64, 80, 80]               0
            SiLU-206           [-1, 64, 80, 80]               0
            SiLU-207           [-1, 64, 80, 80]               0
            SiLU-208           [-1, 64, 80, 80]               0
            SiLU-209           [-1, 64, 80, 80]               0
            SiLU-210           [-1, 64, 80, 80]               0
            SiLU-211           [-1, 64, 80, 80]               0
            SiLU-212           [-1, 64, 80, 80]               0
            SiLU-213           [-1, 64, 80, 80]               0
            SiLU-214           [-1, 64, 80, 80]               0
            SiLU-215           [-1, 64, 80, 80]               0
            SiLU-216           [-1, 64, 80, 80]               0
            SiLU-217           [-1, 64, 80, 80]               0
            SiLU-218           [-1, 64, 80, 80]               0
            SiLU-219           [-1, 64, 80, 80]               0
            SiLU-220           [-1, 64, 80, 80]               0
            SiLU-221           [-1, 64, 80, 80]               0
            SiLU-222           [-1, 64, 80, 80]               0
            SiLU-223           [-1, 64, 80, 80]               0
            SiLU-224           [-1, 64, 80, 80]               0
            SiLU-225           [-1, 64, 80, 80]               0
            SiLU-226           [-1, 64, 80, 80]               0
            SiLU-227           [-1, 64, 80, 80]               0
            SiLU-228           [-1, 64, 80, 80]               0
            SiLU-229           [-1, 64, 80, 80]               0
            SiLU-230           [-1, 64, 80, 80]               0
            SiLU-231           [-1, 64, 80, 80]               0
            SiLU-232           [-1, 64, 80, 80]               0
            Conv-233           [-1, 64, 80, 80]               0
          Conv2d-234           [-1, 64, 80, 80]           4,096
     BatchNorm2d-235           [-1, 64, 80, 80]             128
            SiLU-236           [-1, 64, 80, 80]               0
            SiLU-237           [-1, 64, 80, 80]               0
            SiLU-238           [-1, 64, 80, 80]               0
            SiLU-239           [-1, 64, 80, 80]               0
            SiLU-240           [-1, 64, 80, 80]               0
            SiLU-241           [-1, 64, 80, 80]               0
            SiLU-242           [-1, 64, 80, 80]               0
            SiLU-243           [-1, 64, 80, 80]               0
